Acer	Pro80	ACER-Pro80/1.02 UP/4.1.20i UP.Browser/4.1.20i-XXXX
Alcatel	BE3	Alcatel-BE3/1.0 UP/4.1.8d
Alcatel	BE4	Alcatel-BE4/1.0 UP/4.1.16f
Alcatel	BE5	Alcatel-BE5/1.0 UP/4.1.19e
Alcatel	BF3	Alcatel-BF3/1.0 UP.Browser/4.1.23a
Alcatel	BF4	Alcatel-BF4/1.0 UP.Browser/4.1.23a
Alcatel	BF5	Alcatel-BF5/1.0 UP.Browser/4.1.23a
Alcatel	BG3	Alcatel-BG3/1.0 UP.Browser/5.0.3
Alcatel	BG3-color	Alcatel-BG3-color/1.0 UP.Browser/5.0.3.3.11
Alcatel	BH4	Alcatel-BH4/1.0 UP.Browser/6.1.0.4.123 (GUI) MMP/1.0
Alcatel	BH4R	Alcatel-BH4R/1.0 UP.Browser/6.2.ALCATEL MMP/1.0
Alcatel	TH3	Alcatel-TH3/1.0 UP.Browser/6.2.ALCATEL MMP/1.0
Alcatel	TH4	Alcatel-TH4/1.0 UP.Browser/6.2.ALCATEL MMP/1.0
Audiovox	9155GPX	AUDIOVOX-9155GPX/07.13 UP.Browser/4.1.26c3
Audiovox	CDM-8150	CDM-8150/P15 UP.Browser/4.1.26c4 UP.Link/4.3.3.4
Audiovox	CDM-8300	CDM-8300/T10 UP.Browser/4.1.26l UP.Link/4.3.3.4
Audiovox	CDM9100	AUDIOVOX-CDM9100/05.89 UP.Browser/4.1.24c UP.Link/5.0.2.7a
Audiovox	CDM9500	AUDIOVOX-CDM9500/111.030 UP.Browser/5.0.4.1 (GUI)
BlackBerry	5820	BlackBerry5820/3.6.0
BlackBerry	6210	BlackBerry6210/3.6.0
BlackBerry	6710	BlackBerry6710/3.6.0
BlackBerry	7230	BlackBerry7230/3.7.0
Ericsson	A2618s	EricssonA2618s/R1A
Ericsson	A2628s	EricssonA2628s/R2A
Ericsson	ER209i	DoCoMo/1.0/ER209i
Ericsson	R320	EricssonR320/R1A
Ericsson	R520	EricssonR520/R1A
Ericsson	T20	EricssonT20/R2A
Ericsson	T200	EricssonT200/R101
Ericsson	T39	EricssonT39/R201
Ericsson	T65	EricssonT65/R101
Ericsson	T68	EricssonT68
Fujitsu	F209i	DoCoMo/1.0/F209i
Fujitsu	F210i	DoCoMo/1.0/F210i/c10
Fujitsu	F211i	DoCoMo/1.0/F211i/c10
Fujitsu	F501i	DoCoMo/1.0/F501i
Fujitsu	F502i	DoCoMo/1.0/F502i
Fujitsu	F502it	DoCoMo/1.0/F502it
Fujitsu	F503i	DoCoMo/1.0/F503i/c10
Fujitsu	F503iS	DoCoMo/1.0/F503iS/c10
Fujitsu	F671i	DoCoMo/1.0/F671i/c10
Japan Radio	R209i	DoCoMo/1.0/R209i
Japan Radio	R691i	DoCoMo/1.0/R691i
Kokusai	KO209i	DoCoMo/1.0/KO209i
Kokusai	KO210i	DoCoMo/1.0/KO210i
LG	510W	LGE510W-V137-AU4.2
LG	C1200	LG-C1200 MIC/WAP2.0 MIDP-2.0/CLDC-1.0
LG	C3100	LG-C3100 AU/4.10 Profile MIDP-1.0 Configuration CLDC-1.0
LG	CU8080	LGE-CU8080/1.0 UP.Browser/4.1.26l UP.Link/5.1.1.5c
LG	DB520	LGE-DB520/1.0 UP.Browser/4.1.22b1
LG	DB525	LGE-DB525/1.0 UP.Browser/4.1.24f UP.Link/5.0.2.8
LG	DM310	LGE-DM310/1.0 UP.Browser/4.1.26l UP.Link/4.3.2.4
LG	DM515H	LGE-DM515H/1.0 UP.Browser/4.1.22b UP.Link/4.3.2.4
LG	G510	LG-G510 AU/4.2
LG	G5200	LG-G5200
LG	G5300	LG-G5300 AU/4.10
LG	G5300i	LG-G5300i/JM AU/4.10 Profile/MIDP-1.0 Configuration/CLDC-1.0
LG	G5400	LG-G5400 AU/4.10 Profile/MIDP-1.0 Configuration/CLDC-1.0
LG	G7000	LG-G7000 AU/4.10
LG	G7020	LG-G7020
LG	G7050	LG-G7050 UP.Browser/6.2.2 (GUI) MMP/1.0 Profile/MIDP-1.0 Configuration/CLDC-1.0
LG	G7100	LG-G7100 AU/4.10 Profile/MIDP-1.0 Configuration/CLDC-1.0
